year,gdp,daily_income
1800,3630,5.3
1801,3700,5.39
1802,3760,5.48
1803,3700,5.39
1804,3690,5.38
1805,3770,5.5
1806,3840,5.6
1807,3880,5.65
1808,3600,5.26
1809,3780,5.52
1810,3890,5.67
1811,3970,5.79
1812,3900,5.68
1813,3940,5.75
1814,4020,5.86
1815,4000,5.83
1816,3840,5.6
1817,3830,5.59
1818,3840,5.61
1819,3840,5.6
1820,3810,5.56
1821,3870,5.65
1822,3980,5.81
1823,3940,5.74
1824,4050,5.9
1825,4130,6.03
1826,4160,6.07
1827,4180,6.1
1828,4180,6.1
1829,4040,5.9
1830,4340,6.32
1831,4600,6.71
1832,4770,6.95
1833,4940,7.2
1834,4700,6.86
1835,4880,7.12
1836,4950,7.22
1837,4790,6.99
1838,4750,6.93
1839,4980,7.26
1840,4740,6.91
1841,4640,6.77
1842,4600,6.71
1843,4670,6.81
1844,4930,7.18
1845,5000,7.29
1846,5030,7.34
1847,5160,7.53
1848,5300,7.72
1849,5160,7.52
1850,5180,7.56
1851,5390,7.86
1852,5670,8.26
1853,6050,8.83
1854,6070,8.85
1855,5940,8.66
1856,6060,8.84
1857,5930,8.65
1858,5960,8.69
1859,6120,8.92
1860,6280,9.16
1861,6150,8.97
1862,6340,9.25
1863,6750,9.85
1864,6970,10.2
1865,6620,9.65
1866,6560,9.57
1867,6780,9.89
1868,6870,10
1869,7050,10.3
1870,6850,9.99
1871,7020,10.2
1872,7120,10.4
1873,7300,10.6
1874,7080,10.3
1875,7280,10.6
1876,7200,10.5
1877,7270,10.6
1878,7420,10.8
1879,8150,11.9
1880,8920,13
1881,9010,13.1
1882,9360,13.6
1883,9360,13.6
1884,9310,13.6
1885,9160,13.4
1886,9230,13.5
1887,9440,13.8
1888,9200,13.4
1889,9570,14
1890,9510,13.9
1891,9720,14.2
1892,10.4k,15.2
1893,9750,14.2
1894,9290,13.5
1895,10.2k,14.9
1896,9820,14.3
1897,10.6k,15.4
1898,10.6k,15.5
1899,11.4k,16.6
1900,11.5k,16.7
1901,12.5k,18.2
1902,12.4k,18.1
1903,12.8k,18.6
1904,12.4k,18
1905,13k,19
1906,14.2k,20.8
1907,14.2k,20.7
1908,12.8k,18.7
1909,14k,20.4
1910,13.7k,20.1
1911,13.9k,20.3
1912,14.2k,20.8
1913,14.4k,21
1914,13k,18.9
1915,13.1k,19.1
1916,14.6k,21.3
1917,13.9k,20.3
1918,14.9k,21.8
1919,14.9k,21.7
1920,14.5k,21.1
1921,13.8k,20.1
1922,14.3k,20.8
1923,15.8k,23
1924,15.9k,23.2
1925,15.9k,23.2
1926,16.6k,24.2
1927,16.5k,24
1928,16.3k,23.8
1929,17.1k,24.9
1930,15.3k,22.3
1931,14.2k,20.7
1932,12k,17.4
1933,11.5k,16.7
1934,12.4k,18
1935,13.8k,20.1
1936,15.1k,22
1937,16.1k,23.5
1938,15k,21.9
1939,15.9k,23.2
1940,17.1k,25
1941,19.3k,28.1
1942,21k,30.7
1943,22.6k,33
1944,23.8k,34.8
1945,23k,33.5
1946,20.6k,30
1947,19.8k,28.9
1948,20.3k,29.6
1949,19.5k,28.4
1950,20.8k,30.4
1951,21.9k,32
1952,22.3k,32.5
1953,22.8k,33.3
1954,22.2k,32.4
1955,23.3k,33.9
1956,23.2k,33.8
1957,23.1k,33.7
1958,22.4k,32.7
1959,23.6k,34.4
1960,23.7k,34.6
1961,23.8k,34.7
1962,24.7k,36
1963,25.3k,36.9
1964,26.3k,38.4
1965,27.5k,40.1
1966,28.9k,42.1
1967,29.2k,42.6
1968,30.2k,44.3
1969,30.7k,45.5
1970,30.3k,45.7
1971,30.8k,46.9
1972,31.9k,50.1
1973,33.3k,51
1974,32.7k,49.1
1975,32.2k,49.5
1976,33.5k,51.1
1977,34.6k,51.2
1978,36k,51.4
1979,36.7k,53.1
1980,36.1k,50.5
1981,36.5k,49.6
1982,35.3k,50.4
1983,36.4k,52.1
1984,38.6k,54.2
1985,39.6k,55.2
1986,40.5k,56.8
1987,41.4k,58.6
1988,42.5k,59.5
1989,43.5k,60.5
1990,43.6k,58.9
1991,42.9k,58.2
1992,43.6k,58.3
1993,44k,59.5
1994,45.1k,60.5
1995,45.6k,61.4
1996,46.6k,62.4
1997,47.9k,64.2
1998,49.3k,66
1999,50.8k,67.5
2000,52.1k,68.3
2001,51.9k,68.3
2002,52.1k,68.5
2003,52.9k,69.5
2004,54.2k,69.2
2005,55.4k,70.6
2006,56.1k,71.8
2007,56.5k,71.3
2008,55.8k,69.4
2009,53.7k,70.3
2010,54.5k,68.6
2011,55k,69.4
2012,55.8k,69.7
2013,56.4k,69.2
2014,57.3k,69.7
2015,58.4k,72.3
2016,59k,75.6
2017,59.9k,76.6
2018,61.3k,80.6
2019,62.5k,85.9
2020,60.2k,88
2021,63.6k,87.6
2022,64.7k,89.1
2023,65.7k,90.5
2024,66.4k,91.4
2025,67.3k,92.6
2026,68.4k,94.1
2027,69.6k,95.9
2028,71k,97.8
2029,72.6k,100
2030,72.5k,99.8
2031,72.9k,100
2032,73.3k,101
2033,73.7k,101
2034,74.1k,102
2035,74.5k,103
2036,74.9k,103
2037,75.2k,104
2038,75.6k,104
2039,75.9k,105
2040,76.3k,105
2041,76.6k,106
2042,77k,106
2043,77.3k,106
2044,77.7k,107
2045,78k,107
2046,78.3k,108
2047,78.6k,108
2048,78.9k,109
2049,79.2k,109
2050,79.5k,109
2051,79.8k,110
2052,80.1k,110
2053,80.4k,111
2054,80.7k,111
2055,80.9k,111
2056,81.2k,112
2057,81.5k,112
2058,81.7k,113
2059,82k,113
2060,82.2k,113
2061,82.5k,114
2062,82.7k,114
2063,83k,114
2064,83.2k,115
2065,83.4k,115
2066,83.7k,115
2067,83.9k,115
2068,84.1k,116
2069,84.3k,116
2070,84.5k,116
2071,84.7k,117
2072,84.9k,117
2073,85.1k,117
2074,85.3k,117
2075,85.5k,118
2076,85.7k,118
2077,85.8k,118
2078,86k,118
2079,86.2k,119
2080,86.4k,119
2081,86.5k,119
2082,86.7k,119
2083,86.9k,120
2084,87k,120
2085,87.2k,120
2086,87.3k,120
2087,87.5k,120
2088,87.6k,121
2089,87.7k,121
2090,87.9k,121
2091,88k,121
2092,88.2k,121
2093,88.3k,122
2094,88.4k,122
2095,88.5k,122
2096,88.7k,122
2097,88.8k,122
2098,88.9k,122
2099,89k,123
2100,89.1k,123
