year,gdp,life_expectancy
1800,3630,39.4
1801,3700,39.4
1802,3760,39.4
1803,3700,39.4
1804,3690,39.4
1805,3770,39.4
1806,3840,39.4
1807,3880,39.4
1808,3600,39.4
1809,3780,39.4
1810,3890,39.4
1811,3970,39.4
1812,3900,39.4
1813,3940,39.4
1814,4020,39.4
1815,4000,39.4
1816,3840,39.4
1817,3830,39.4
1818,3840,39.4
1819,3840,39.4
1820,3810,39.4
1821,3870,39.4
1822,3980,39.4
1823,3940,39.4
1824,4050,39.4
1825,4130,39.4
1826,4160,39.4
1827,4180,39.4
1828,4180,39.4
1829,4040,39.4
1830,4340,39.4
1831,4600,39.4
1832,4770,39.4
1833,4940,39.4
1834,4700,39.4
1835,4880,39.4
1836,4950,39.4
1837,4790,39.4
1838,4750,39.4
1839,4980,39.4
1840,4740,39.4
1841,4640,39.4
1842,4600,39.4
1843,4670,39.4
1844,4930,39.4
1845,5000,39.4
1846,5030,39.4
1847,5160,39.4
1848,5300,39.4
1849,5160,39.4
1850,5180,39.4
1851,5390,39.4
1852,5670,39.4
1853,6050,39.4
1854,6070,39.4
1855,5940,39.4
1856,6060,39.4
1857,5930,39.4
1858,5960,39.4
1859,6120,39.4
1860,6280,39.4
1861,6150,38
1862,6340,34.5
1863,6750,34
1864,6970,31
1865,6620,38
1866,6560,39.4
1867,6780,39.4
1868,6870,39.4
1869,7050,39.4
1870,6850,39.4
1871,7020,39.4
1872,7120,39.4
1873,7300,39.4
1874,7080,39.4
1875,7280,39.4
1876,7200,39.4
1877,7270,39.4
1878,7420,39.4
1879,8150,39.4
1880,8920,39.4
1881,9010,40
1882,9360,40.6
1883,9360,41.2
1884,9310,41.8
1885,9160,42.4
1886,9230,42.9
1887,9440,43.5
1888,9200,44.1
1889,9570,44.7
1890,9510,45.3
1891,9720,45.6
1892,10.4k,46
1893,9750,46.4
1894,9290,46.8
1895,10.2k,47.1
1896,9820,47.5
1897,10.6k,47.9
1898,10.6k,48.2
1899,11.4k,48.6
1900,11.5k,49
1901,12.5k,49.4
1902,12.4k,50.6
1903,12.8k,50.7
1904,12.4k,49.7
1905,13k,50.4
1906,14.2k,50.2
