year,gdp,population
1800,3630,6000000
1801,3700,6110000
1802,3760,6230000
1803,3700,6350000
1804,3690,6470000
1805,3770,6590000
1806,3840,6720000
1807,3880,6840000
1808,3600,6970000
1809,3780,7110000
1810,3890,7300000
1811,3970,7500000
1812,3900,7730000
1813,3940,7980000
1814,4020,8240000
1815,4000,8510000
1816,3840,8790000
1817,3830,9070000
1818,3840,9370000
1819,3840,9670000
1820,3810,9970000
1821,3870,10300000
1822,3980,10600000
1823,3940,10900000
1824,4050,11200000
1825,4130,11500000
1826,4160,11800000
1827,4180,12200000
1828,4180,12500000
1829,4040,12900000
1830,4340,13200000
1831,4600,13600000
1832,4770,14000000
1833,4940,14400000
1834,4700,14800000
1835,4880,15200000
1836,4950,15600000
1837,4790,16100000
1838,4750,16500000
1839,4980,17000000
1840,4740,17500000
1841,4640,18000000
1842,4600,18500000
1843,4670,19100000
1844,4930,19700000
1845,5000,20300000
1846,5030,20900000
1847,5160,21600000
1848,5300,22200000
1849,5160,22900000
1850,5180,23600000
1851,5390,24300000
1852,5670,25000000
1853,6050,25800000
1854,6070,26600000
1855,5940,27400000
1856,6060,28200000
1857,5930,29000000
1858,5960,29900000
1859,6120,30800000
1860,6280,31600000
1861,6150,32400000
1862,6340,33200000
1863,6750,34000000
1864,6970,34800000
1865,6620,35600000
1866,6560,36400000
1867,6780,37300000
1868,6870,38100000
1869,7050,39000000
1870,6850,39900000
1871,7020,40800000
1872,7120,41700000
1873,7300,42700000
1874,7080,43600000
1875,7280,44600000
1876,7200,45600000
1877,7270,46600000
1878,7420,47700000
1879,8150,48700000
1880,8920,49800000
1881,9010,51000000
1882,9360,52100000
1883,9360,53300000
1884,9310,54500000
1885,9160,55700000
1886,9230,57000000
1887,9440,58200000
1888,9200,59600000
1889,9570,60800000
1890,9510,62100000
1891,9720,63400000
1892,10.4k,64600000
1893,9750,65800000
1894,9290,67000000
1895,10.2k,68200000
1896,9820,69500000
1897,10.6k,70800000
1898,10.6k,72100000
1899,11.4k,73400000
1900,11.5k,74800000
1901,12.5k,76200000
1902,12.4k,77700000
1903,12.8k,79200000
1904,12.4k,80700000
1905,13k,82300000
1906,14.2k,83800000
1907,14.2k,85400000
1908,12.8k,87100000
1909,14k,88600000
1910,13.7k,90200000
1911,13.9k,91600000
1912,14.2k,92900000
1913,14.4k,94200000
1914,13k,95500000
1915,13.1k,96900000
1916,14.6k,98200000
1917,13.9k,99600000
1918,14.9k,101000000
1919,14.9k,102000000
1920,14.5k,104000000
1921,13.8k,105000000
1922,14.3k,107000000
1923,15.8k,109000000
1924,15.9k,110000000
1925,15.9k,112000000
1926,16.6k,113000000
1927,16.5k,115000000
1928,16.3k,117000000
1929,17.1k,118000000
1930,15.3k,120000000
1931,14.2k,121000000
1932,12k,122000000
1933,11.5k,123000000
1934,12.4k,124000000
1935,13.8k,124000000
1936,15.1k,125000000
1937,16.1k,126000000
1938,15k,127000000
1939,15.9k,128000000
1940,17.1k,129000000
1941,19.3k,131000000
1942,21k,133000000
1943,22.6k,134000000
1944,23.8k,136000000
1945,23k,138000000
1946,20.6k,140000000
1947,19.8k,142000000
1948,20.3k,144000000
1949,19.5k,146000000
1950,20.8k,148000000
1951,21.9k,151000000
1952,22.3k,153000000
1953,22.8k,155000000
1954,22.2k,158000000
1955,23.3k,161000000
1956,23.2k,164000000
1957,23.1k,167000000
1958,22.4k,170000000
1959,23.6k,173000000
1960,23.7k,176000000
1961,23.8k,179000000
1962,24.7k,182000000
1963,25.3k,185000000
1964,26.3k,187000000
1965,27.5k,190000000
1966,28.9k,192000000
1967,29.2k,194000000
1968,30.2k,196000000
1969,30.7k,198000000
1970,30.3k,200000000
1971,30.8k,203000000
1972,31.9k,205000000
1973,33.3k,207000000
1974,32.7k,209000000
1975,32.2k,211000000
1976,33.5k,213000000
1977,34.6k,215000000
1978,36k,218000000
1979,36.7k,220000000
1980,36.1k,223000000
1981,36.5k,226000000
1982,35.3k,228000000
1983,36.4k,230000000
1984,38.6k,233000000
1985,39.6k,235000000
1986,40.5k,238000000
